image name,label
#cloth mask#_100.jpg,0
#cloth mask#_108.jpg,0
#cloth mask#_110.jpg,0
#cloth mask#_111.jpg,0
#cloth mask#_133.jpg,0
#cloth mask#_141.jpg,0
#cloth mask#_148.jpg,0
#cloth mask#_158.jpg,0
#cloth mask#_192.jpg,0
#cloth mask#_208.jpg,0
#cloth mask#_220.jpg,0
#cloth mask#_231.jpg,0
#cloth mask#_237.jpg,0
#cloth mask#_245.jpg,0
#cloth mask#_256.jpg,0
#cloth mask#_298.jpg,0
#cloth mask#_315.jpg,0
#cloth mask#_316.jpg,0
#cloth mask#_339.jpg,0
#cloth mask#_365.jpg,0
#cloth mask#_369.jpg,0
#cloth mask#_398.jpg,0
#cloth mask#_5.jpg,0
#cloth mask#_51.jpg,0
#cloth mask#_514.jpg,0
#cloth mask#_574.jpg,0
#cloth mask#_6.jpg,0
#cloth mask#_66.jpg,0
#cloth mask#_76.jpg,0
#cloth mask#_77.jpg,0
#cloth mask#_86.jpg,0
#cloth mask#_97.jpg,0
#cloth mask_2#_0.jpg,0
#cloth mask_2#_100.jpg,0
#cloth mask_2#_106.jpg,0
#cloth mask_2#_112.jpg,0
#cloth mask_2#_115.jpg,0
#cloth mask_2#_120.jpg,0
#cloth mask_2#_132.jpg,0
#cloth mask_2#_133.jpg,0
#cloth mask_2#_135.jpg,0
#cloth mask_2#_140.jpg,0
#cloth mask_2#_141.jpg,0
#cloth mask_2#_168.jpg,0
#cloth mask_2#_178.jpg,0
#cloth mask_2#_194.jpg,0
#cloth mask_2#_197.jpg,0
#cloth mask_2#_198.jpg,0
#cloth mask_2#_205.jpg,0
#cloth mask_2#_23.jpg,0
#cloth mask_2#_235.jpg,0
#cloth mask_2#_238.jpg,0
#cloth mask_2#_24.jpg,0
#cloth mask_2#_246.jpg,0
#cloth mask_2#_248.jpg,0
#cloth mask_2#_25.jpg,0
#cloth mask_2#_259.jpg,0
#cloth mask_2#_266.jpg,0
#cloth mask_2#_298.jpg,0
#cloth mask_2#_3.jpg,0
#cloth mask_2#_302.jpg,0
#cloth mask_2#_31.jpg,0
#cloth mask_2#_330.jpg,0
#cloth mask_2#_333.jpg,0
#cloth mask_2#_339.jpg,0
#cloth mask_2#_358.jpg,0
#cloth mask_2#_374.jpg,0
#cloth mask_2#_376.jpg,0
#cloth mask_2#_391.jpg,0
#cloth mask_2#_45.jpg,0
#cloth mask_2#_46.jpg,0
#cloth mask_2#_465.jpg,0
#cloth mask_2#_482.jpg,0
#cloth mask_2#_548.jpg,0
#cloth mask_2#_56.jpg,0
#cloth mask_2#_569.jpg,0
#cloth mask_2#_59.jpg,0
#cloth mask_2#_76.jpg,0
#cloth mask_2#_8.jpg,0
#cloth mask_2#_85.jpg,0
#cloth mask_2#_99.jpg,0
0018.jpg,0
0043.jpg,0
0216.jpg,0
0727.jpg,0
0805.jpg,0
0820.jpg,0
0862.jpg,0
0864.jpg,0
0901.jpeg,0
0978.jpg,0
#FFP2#_10.jpg,1
#FFP2#_105.jpg,1
#FFP2#_109.jpg,1
#FFP2#_11.jpg,1
#FFP2#_110.jpg,1
#FFP2#_111.jpg,1
#FFP2#_114.jpg,1
#FFP2#_115.jpg,1
#FFP2#_125.jpeg,1
#FFP2#_129.jpg,1
#FFP2#_13.jpg,1
#FFP2#_135.jpeg,1
#FFP2#_139.jpg,1
#FFP2#_14.jpg,1
#FFP2#_140.jpg,1
#FFP2#_141.jpg,1
#FFP2#_142.jpg,1
#FFP2#_144.jpg,1
#FFP2#_147.jpg,1
#FFP2#_148.jpg,1
#FFP2#_150.jpg,1
#FFP2#_152.jpg,1
#FFP2#_154.jpg,1
#FFP2#_161.jpg,1
#FFP2#_162.jpg,1
#FFP2#_166.jpg,1
#FFP2#_17.jpg,1
#FFP2#_182.jpg,1
#FFP2#_185.jpg,1
#FFP2#_187.jpg,1
#FFP2#_19.jpg,1
#FFP2#_193.jpg,1
#FFP2#_198.jpg,1
#FFP2#_202.jpg,1
#FFP2#_211.jpg,1
#FFP2#_216.jpg,1
#FFP2#_220.jpg,1
#FFP2#_224.jpg,1
#FFP2#_230.jpg,1
#FFP2#_246.jpg,1
#FFP2#_247.jpg,1
#FFP2#_248.jpg,1
#FFP2#_252.jpg,1
#FFP2#_253.jpg,1
#FFP2#_257.jpg,1
#FFP2#_272.jpg,1
#FFP2#_296.jpg,1
#FFP2#_3.jpg,1
#FFP2#_36.jpg,1
#FFP2#_386.jpg,1
#FFP2#_460.jpg,1
#FFP2#_461.jpg,1
#FFP2#_468.jpg,1
#FFP2#_492.jpg,1
#FFP2#_52.jpg,1
#FFP2#_59.jpg,1
#FFP2#_66.jpg,1
#FFP2#_67.jpg,1
#FFP2#_71.jpg,1
#FFP2#_73.jpg,1
#FFP2#_79.jpg,1
#FFP2#_83.jpg,1
#FFP2#_85.jpg,1
#FFP2#_87.jpg,1
#FFP2#_91.jpg,1
#FFP2#_96.jpg,1
#FFP22#_119.jpg,1
#FFP22#_120.jpg,1
#FFP22#_138.jpg,1
#FFP22#_166.jpg,1
#FFP22#_179.jpg,1
#FFP22#_180.jpg,1
#FFP22#_182.jpg,1
#FFP22#_199.jpg,1
#FFP22#_220.jpg,1
#FFP22#_225.jpg,1
#FFP22#_23.jpg,1
#FFP22#_250.jpg,1
#FFP22#_274.jpg,1
#FFP22#_35.jpg,1
#FFP22#_384.jpg,1
#FFP22#_391.jpg,1
#FFP22#_40.jpg,1
#FFP22#_409.jpg,1
#FFP22#_428.jpg,1
#FFP22#_435.jpg,1
#FFP22#_458.jpg,1
#FFP22#_47.jpg,1
#FFP22#_50.jpg,1
#FFP22#_547.jpg,1
#FFP22#_55.jpg,1
#FFP22#_56.jpeg,1
#FFP22#_57.jpeg,1
#FFP22#_59.jpg,1
#FFP22#_614.jpg,1
#FFP22#_816.jpg,1
#FFP22#_845.jpg,1
#FFP22#_91.jpg,1
#N95#_10.jpg,1
#N95#_106.jpg,1
#N95#_108.jpg,1
#N95#_109.jpg,1
#N95#_11.jpg,1
#N95#_112.jpg,1
#N95#_120.jpg,1
#N95#_13.jpg,1
#N95#_139.jpg,1
#N95#_141.jpg,1
#N95#_158.jpg,1
#N95#_164.jpg,1
#N95#_181.jpg,1
#N95#_188.jpg,1
#N95#_197.jpg,1
#N95#_199.jpg,1
#N95#_203.jpg,1
#N95#_36.jpg,1
#N95#_434.jpg,1
#N95#_466.jpg,1
#N95#_467.jpeg,1
#N95#_476.jpg,1
#N95#_492.jpg,1
#N95#_61.jpeg,1
#N95#_65.jpg,1
#N95#_67.jpg,1
#N95#_71.jpg,1
#N95#_74.jpg,1
#N95#_81.jpg,1
#N95#_86.jpg,1
#N95#_95.jpg,1
#valveN95#_564.jpg,1
#valveN95#_582.jpg,1
0792.jpg,1
#valveN95#_108.jpg,2
#valveN95#_112.jpg,2
#valveN95#_121.jpeg,2
#valveN95#_122.jpeg,2
#valveN95#_124.jpg,2
#valveN95#_171.jpg,2
#valveN95#_209.jpg,2
#valveN95#_220.jpg,2
#valveN95#_237.jpg,2
#valveN95#_270.jpg,2
#valveN95#_275.jpg,2
#valveN95#_277.jpg,2
#valveN95#_307.jpg,2
#valveN95#_325.jpg,2
#valveN95#_41.jpg,2
#valveN95#_468.jpg,2
#valveN95#_472.jpg,2
#valveN95#_516.jpg,2
#valveN95#_520.jpg,2
#valveN95#_530.jpg,2
#valveN95#_61.jpg,2
#valveN95#_618.jpg,2
#valveN95#_640.jpg,2
#valveN95#_669.jpg,2
#valveN95#_671.jpg,2
#valveN95#_691.jpg,2
#valveN95#_725.jpg,2
#valveN95#_742.jpg,2
#valveN95#_75.jpg,2
#valveN95#_754.jpg,2
#valveN95#_756.jpg,2
#valveN95#_788.jpg,2
#valveN95#_855.jpg,2
#valveN95#_887.jpg,2
0998.jpg,2
0_0_0 copy 95.jpg,2
0_0_0 copy 97.jpg,2
102.jpg,2
103.jpg,2
104.jpg,2
107.jpg,2
108.jpg,2
1083.jpg,2
109.jpg,2
112.jpg,2
113.jpg,2
114.jpg,2
117.jpg,2
1720.jpeg,2
83.jpg,2
86.jpg,2
87.jpg,2
88.jpg,2
92.jpg,2
93.jpg,2
98.jpg,2
new183.jpeg,2
new184.jpeg,2
new185.jpeg,2
new186.jpeg,2
new187.jpeg,2
new91.jpeg,2
new92.jpeg,2
new93.jpeg,2
new94.jpeg,2
new95.jpeg,2
new96.jpeg,2
new97.jpeg,2
new98.jpeg,2
NV0.jpg,2
NV1.jpg,2
NV10.jpg,2
NV100.jpeg,2
NV101.jpg,2
NV102.jpg,2
NV103.jpg,2
NV104.jpg,2
NV105.jpg,2
NV106.jpg,2
NV107.jpg,2
NV108.jpg,2
NV109.jpg,2
NV11.jpg,2
NV110.jpg,2
NV111.jpg,2
NV112.jpg,2
NV113.jpg,2
NV114.jpg,2
NV115.jpg,2
NV117.jpg,2
NV118.jpg,2
NV119.jpg,2
NV12.jpg,2
NV120.jpg,2
NV122.jpg,2
NV124.jpg,2
NV126.jpg,2
NV127.jpg,2
NV128.jpg,2
NV129.jpg,2
NV13.jpg,2
NV130.jpg,2
NV131.jpg,2
NV132.jpg,2
NV133.jpg,2
NV134.jpg,2
NV135.jpg,2
NV137.jpg,2
NV138.jpg,2
NV139.jpg,2
NV14.jpg,2
NV141.jpg,2
NV142.jpeg,2
NV143.jpg,2
NV144.jpg,2
NV145.jpg,2
NV146.jpg,2
NV147.jpg,2
NV148.jpeg,2
NV149.jpg,2
NV15.jpg,2
NV150.jpg,2
NV151.jpg,2
NV152.jpg,2
NV153.jpg,2
NV154.jpg,2
NV16.jpg,2
NV17.jpg,2
NV18.jpg,2
NV19.jpg,2
NV2.jpg,2
NV20.jpg,2
NV21.jpg,2
NV22.jpg,2
NV23.jpg,2
NV24.jpg,2
NV25.jpg,2
NV26.jpg,2
NV27.jpg,2
NV28.jpg,2
NV29.jpg,2
NV3.jpg,2
NV30.jpg,2
NV31.jpg,2
NV32.jpg,2
NV33.jpg,2
NV34.jpg,2
NV35.jpg,2
NV36.jpg,2
NV37.jpg,2
NV38.jpg,2
NV39.jpg,2
NV4.jpg,2
NV40.jpg,2
NV41.jpg,2
NV42.jpg,2
NV43.jpg,2
NV44.jpg,2
NV45.jpg,2
NV46.jpg,2
NV47.jpg,2
NV48.jpg,2
NV49.jpg,2
NV5.jpg,2
NV50.jpg,2
NV51.jpg,2
NV52.jpg,2
NV53.jpg,2
NV54.jpg,2
NV55.jpg,2
NV56.jpg,2
NV57.jpg,2
NV6.jpg,2
NV7.jpg,2
NV75.jpg,2
NV76.jpg,2
NV77.jpg,2
NV78.jpg,2
NV79.jpg,2
NV8.jpg,2
NV80.jpg,2
NV81.jpg,2
NV82.jpg,2
NV83.jpg,2
NV84.jpg,2
NV85.jpg,2
NV87.jpg,2
NV89.jpg,2
NV9.jpg,2
NV90.jpg,2
NV91.jpg,2
NV92.jpg,2
NV93.jpg,2
NV94.jpg,2
NV95.jpg,2
NV96.jpg,2
NV98.jpg,2
NV99.jpg,2
train_00001307.jpg,2
train_00001589.jpg,2
train_00001735.jpg,2
train_00001771.jpg,2
train_00001813.jpg,2
train_00001995.jpg,2
train_00002204.jpg,2
train_00002501.jpg,2
train_00002629.jpg,2
train_00002715.jpg,2
train_00002763.jpg,2
train_00002910.jpg,2
train_00003026.jpg,2
train_00003704.jpg,2
train_00003909.jpg,2
train_00004303.jpg,2
train_00005486.jpg,2
train_00006257.jpg,2
train_00013130.jpg,2
train_00013171.jpg,2
train_00013284.jpg,2
train_00013530.jpg,2
train_00014767.jpg,2
train_00015004.jpg,2
train_00015020.jpg,2
train_00015261.jpg,2
train_00016520.jpg,2
train_00016757.jpg,2
train_00017515.jpg,2
train_00017732.jpg,2
train_00017751.jpg,2
train_00018486.jpg,2
train_00019325.jpg,2
train_00020629.jpg,2
train_00021888.jpg,2
train_00021940.jpg,2
train_00022350.jpg,2
train_00023945.jpg,2
train_00023968.jpg,2
train_00025715.jpg,2
#surgical_mask#_1.jpg,3
#surgical_mask#_102.jpg,3
#surgical_mask#_107.jpg,3
#surgical_mask#_109.jpg,3
#surgical_mask#_11.jpg,3
#surgical_mask#_125.jpg,3
#surgical_mask#_137.jpeg,3
